Products,Produits
Clipart,Cliparts
cliparts,cliparts
Text,Texte
How to use,Comment utiliser
Product Colors:,Couleurs du produit: 
layers panel,panneau Calques
select a font:,choisir une police:
add text,ajouter du texte
update text,mettre au courant texte
direction,direction
Edit Design Color,Modifier Color Design
More,plus
Close,près
FONT STYLES / text effects:,Styles de la police / effets de texte:
How to use the customizer...,Comment utiliser le customizer...
Step 1,Etape 1
Select <br> your Product,Choisissez <br> votre produit
Step 2,Étape 2
Step 3,Etape 3
Upload your images or choose from our gallery,Envoyez vos images ou choisir parmi notre galerie
Preview your design and proceed to the checkout,Un aperçu de votre conception et passer à la caisse
Order Info,Informations sur la commande
QTY.,QTET.
size,TAILLE
ORDER TOTAL:,ordre total:
add to cart,Ajouter au panier
Share Design:,Partager Conception:
Uploaded image,image téléchargée
continue,continuer
cancel,annuler
"In order to use a design (photograph, logo, brand logo, saying, text, etc) you must have the full rights to this design. If you are not sure, please confirm ownership or ask the rightful owner for usage rights before uploading a design! By saving a design on the Spreadshirt server, you are confirming:","Pour utiliser un design (photo, logo, logo de la marque, en disant, texte, etc.), vous devez avoir les pleins droits à cette conception. Si vous n'êtes pas sûr, se il vous plaît confirmer la propriété ou demander au propriétaire légitime des droits d'utilisation avant de télécharger un dessin! En enregistrant un dessin sur le serveur Spreadshirt, vous confirmez:"
I hold the specific right to commercially reproduce this design.,Je tiens le droit spécifique de reproduire commercialement cette conception.
"If, for any reason, the legal beholder of this copyright contacts Spreadshirt, I understand that he/she will be referred directly to me.","Si, pour une raison quelconque, le spectateur juridique de ce droit d'auteur contacts Spreadshirt, je comprends qu'il / elle sera renvoyée directement à moi."
I understand that illegal usage of a third party's protected design is no small offence and can result in heavy penalties.,Je comprends que l'utilisation illégale du dessin ou modèle protégé d'un tiers ne est pas une infraction et peut entraîner des sanctions lourdes.
No Image Uploaded,Pas d'image Téléchargé
"min. 50x50 pixels, max. 4000x4000 pixels","min. 50x50 pixels, max. 4000 x 4000 pixels"
maximum 10 MB,maximum 10 Mo
Start upload,Démarrer le téléchargement
Upload Photo,Télécharger une photo
Just a moment,Juste un moment
Front,avant
Back,dos
Upload,Télécharger
Only,Seulement 
change language,Changer de langue
watch video,regarder video
".png, .jpg, .bmp or .gif",".png, .jpg, .bmp ou .gif"
UPLOADED IMAGE,image téléchargée
Next,prochaine
Prev,Précédent
0-360 degree <br>(counter-clockwise),0-360 degré <br> (sens anti-horaire)
Back to Customizer,Retour à Customizer 
View Order Detail,Voir Commander Détail
Color,couleur
Size,taille
QTY.,QTE.
price,prix
Download Ready to Print Final Output Files,Télécharger Prêt à imprimer Sortie finale Fichiers
"We have 3 type of final output for you and all of these are ready to print with DTG printers. Download them to test them in real with your printing machine. You simply needs to open the file, setup a t-shirt in your machine and give a command of PRINT to machine. It will print exactly as what you designed :)","Nous avons trois type de sortie finale pour vous et tous ces êtes prêt à imprimer avec les imprimantes DTG. Téléchargez-les sur les tester en temps réel avec votre machine d'impression. Vous simplement besoin d'ouvrir le fichier, l'installation d'un t-shirt dans votre machine et donner un ordre de PRINT pour machine. Il sera imprimé exactement comme ce que vous avez conçu :)"
PDF Download,Télécharger PDF
PNG Download,PNG Télécharger
SVG Download,SVG Télécharger
Just a few seconds... to get excited and make things,Juste quelques secondes ... de se exciter et de faire les choses
A feature rich responsive product customiser tool,Un outil de customiser riche de produits sensibles de fonction
