Products,Produkte
Clipart,Clipart
cliparts,Cliparts
Text,Text
How to use,Wie zu verwenden
Product Colors:,Produkt Farben:
layers panel,Lagen-Panel
select a font:,wählen Sie eine Schriftart:
add text,Text hinzufügen
update text,Update Text
direction,Richtung
Edit Design Color,Bearbeiten Entwurfs-Farben-
More,mehr
Close,in der Nähe
FONT STYLES / text effects:,SCHRIFTART-ARTEN / Texteffekte:
How to use the customizer...,Wie Sie das Customizer verwenden ﾅ
Step 1,Schritt 1
Select <br> your Product,Wählen <br> Sie Ihre Produkt 
Step 2,Schritt 2
Step 3,Schritt 3
Upload your images or choose from our gallery,Laden Sie Ihre Bilder oder wählen Sie aus der Galerie
Preview your design and proceed to the checkout,Vorschau Ihrer Design und gehen zur Kasse
Order Info,Bestell-Info
QTY.,Menge.
size,Größe
ORDER TOTAL:,Bestellen insgesamt:
add to cart,in den Warenkorb legen
Share Design:,Teilen Ausführung:
Uploaded image,Hochgeladene Bild
continue,fortsetzen
cancel,stornieren
"In order to use a design (photograph, logo, brand logo, saying, text, etc) you must have the full rights to this design. If you are not sure, please confirm ownership or ask the rightful owner for usage rights before uploading a design! By saving a design on the Spreadshirt server, you are confirming:","Um ein Design (Foto, Logo, Markenlogo, sprichwort, text, etc.) verwenden müssen Sie die vollen Rechte an diesem Entwurf haben. Wenn Sie nicht sicher sind, bestätigen Sie bitte Eigentum oder fragen Sie den rechtmäßigen Besitzer Nutzungsrechte vor dem Upload einen Entwurf! Mit dem Speichern eines auf dem Spreadshirt-Server, bestätigen Sie:"
I hold the specific right to commercially reproduce this design.,Ich halte das spezifische Recht auf handels reproduzieren diesen Entwurf.
"If, for any reason, the legal beholder of this copyright contacts Spreadshirt, I understand that he/she will be referred directly to me.","Wenn, aus irgendeinem Grund, die Rechts Betrachter dieser urheberrechtlich Kontakte Spreadshirt verstehe ich, dass er / sie direkt an mich überwiesen."
I understand that illegal usage of a third party's protected design is no small offence and can result in heavy penalties.,"Ich verstehe, dass die illegale Nutzung geschützter Ausführung eines Dritten ist keine kleine Ordnungswidrigkeit und kann in schweren Strafen führen."
No Image Uploaded,Kein Bild Hochgeladen
"min. 50x50 pixels, max. 4000x4000 pixels","min. 50x50 pixels, max. 4000 x 4000 pixels"
maximum 10 MB,maximal 10 MB
Start upload,Upload starten
Upload Photo,Upload Photo
Just a moment,Einen Augenblick
Front,Vorderseite
Back,zurück
Upload,hochladen
Only,nur
change language,Sprache ändern
watch video,Video anzusehen
".png, .jpg, .bmp or .gif",".png, .jpg, .bmp oder .gif"
UPLOADED IMAGE,hochgeladene Bild
Next,nächster
Prev,zurück
0-360 degree <br>(counter-clockwise),0-360 Grad <br> (gegen den Uhrzeigersinn)
Back to Customizer,Zurück zur Customizer
View Order Detail,Bestellung anzeigen Details
Color,Farbe
Size,Größe
QTY.,Menge.
price,Preis
Download Ready to Print Final Output Files,Laden Sie fertig Schlussausgabedateien drucken
"We have 3 type of final output for you and all of these are ready to print with DTG printers. Download them to test them in real with your printing machine. You simply needs to open the file, setup a t-shirt in your machine and give a command of PRINT to machine. It will print exactly as what you designed :)","Wir haben 3 Art der endgültigen Ausgabe für Sie und alle von ihnen bereit, mit DTG-Drucker drucken. Laden Sie sie, um sie in Echt mit Ihrer Druckmaschine zu testen. Sie muss lediglich die Datei, Setup ein T-Shirt in der Maschine öffnen und einen Befehl von PRINT zu Maschine. Es wird genau wie das, was selber gestalten Drucken :)"
PDF Download,PDF herunterladen
PNG Download,PNG herunterladen
SVG Download,SVG herunterladen
Just a few seconds... to get excited and make things,Nur ein paar Sekunden ... zu begeistern und die Dinge
A feature rich responsive product customiser tool,Ein funktionsreichen reaktionsProduktKonfigurator-Tool
